epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,3.1007869989811434,3.1718301748540223,0.0640209047852359,0.0191009995399756,0.0225661211294048
2,3.063681038153885,3.0150751087491505,0.0814959986934509,0.0390052922005274,0.0456249537866832
3,3.044689550257278,2.9735307262435606,0.0971745876204474,0.0474174771976793,0.0560430844244438
4,3.009545934553622,2.9155295165013824,0.102890739833415,0.0456000287064429,0.0532391109778484
5,2.987072470101121,2.927474670933486,0.1136697697207251,0.0553541983598932,0.0645645763163562
6,2.966390744183826,2.8673292660701515,0.1239588437040666,0.0740342711600536,0.0870573092874495
7,2.946588275850554,2.834833179601906,0.1365343785725951,0.0830649254309375,0.0951483144476027
8,2.927603320003948,2.856591159838312,0.1192226032990364,0.0770956877849319,0.0894681496647308
9,2.9152915890269195,2.856328402705662,0.1335946431487832,0.084106520137868,0.0936590880719839
10,2.905726772702995,2.7717510364267066,0.1652784582720888,0.1110449394951656,0.1266516736080124
11,2.8889355228474223,2.768911451758385,0.1690347868691817,0.1246221636845054,0.1422449715041138
12,2.877438081121644,2.7477290299755284,0.1918993957210517,0.1475620899320076,0.168490251450926
13,2.867576028956699,2.7883507347994723,0.1656050955414012,0.1127078438311824,0.1266731941337305
14,2.861516767339705,2.7193841005528108,0.2030050628776743,0.1513231466827845,0.1721607997619925
15,2.853525249969913,2.7428321216925284,0.1865098807773967,0.1410470391351164,0.1594461811921538
