epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,2.3528742540746044,1.1669734827389266,0.6362894006206108,0.5625169620059235,0.6113708923997253
2,1.0401021956453287,0.7847605999750813,0.7528989057651478,0.7041496799293173,0.7393872824932594
3,0.8197448796726415,0.6946689831885406,0.7800097991180793,0.7430263516886205,0.7717855638016525
4,0.7382943981169019,0.6544591139466004,0.7947084762371387,0.7629973967702468,0.7892894045031301
5,0.6872627387399565,0.6233449582179037,0.8020578147966683,0.7710773232794259,0.7940498535209318
6,0.6505794070920837,0.5974796268649104,0.8067940552016986,0.7795086793879458,0.8000634911520924
7,0.6236106027892593,0.5858245294272812,0.814796668299853,0.7883953665792062,0.8100933044674562
8,0.5949427478920054,0.5648095261304962,0.8174097664543525,0.793627170668724,0.8141366267300827
9,0.577385490905453,0.5620460589687828,0.8177364037236649,0.7927586700285177,0.8127428727922359
10,0.562602852647369,0.5504905501943037,0.8221460068593827,0.7980909568523263,0.8172382127510335
11,0.5497593791925577,0.5489480220646556,0.821656050955414,0.7965362311508984,0.8156453300700538
12,0.5406430308367366,0.5420703999400042,0.8255756981871631,0.8024715442015946,0.8219554245891407
13,0.534885069788977,0.5379615783321493,0.823942511840601,0.8027165635732189,0.8205147113096289
14,0.5230689709591673,0.5373995469302966,0.8241058304752572,0.8020368330557271,0.820182178960925
15,0.5253288504969706,0.5363228759422191,0.8268822472644128,0.8050581959833352,0.8229405204541249
