model,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,loss
VisualBERT,0.8752449379490529,0.8653726800047785,0.8636523965478554,0.864149161959657,0.8746917561172777,0.8752449379490529,0.87464539811239,0.39742207846553795
CLIP,0.848791639451339,0.854957237704757,0.8099257304835836,0.8063637712893706,0.847609504422477,0.848791639451339,0.8346101567155595,1.9986581727619035
