epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,2.898649566541684,2.404974837912934,0.24644781969622734,0.18260930937430075,0.20364024963789823
2,1.7503685464837204,1.2740887372240257,0.6261636452719255,0.5435666430643956,0.601414201501114
3,1.1230517605319164,0.9737823924879301,0.7259513310468725,0.6577060660033641,0.7122327783581409
4,0.9149858771494148,0.8784222817856093,0.7489792585333986,0.6960053963380372,0.7394359838778596
5,0.795982315079031,0.811951720096912,0.7664543524416136,0.7176448059306524,0.7570997011710643
6,0.7058178373937404,0.7874440417452983,0.7840927649844848,0.7416122708065802,0.775196076138568
7,0.6374740342398103,0.7591719417296631,0.7914421035440143,0.7515132957576407,0.7836000757740683
8,0.5773717898054493,0.7768415269395815,0.7885023681202025,0.7554225400996014,0.7816698051433054
9,0.5273474862614563,0.7757890362334509,0.7904621917360771,0.7609160413759684,0.7876971164786318
10,0.4838161747584764,0.7796451023294755,0.7919320594479831,0.762035231665601,0.7876324384545921
11,0.4479933918809719,0.8231902289286891,0.7842560836191409,0.755709203865551,0.7792008416125635
12,0.4111639777426721,0.8336177541546265,0.781969622733954,0.754093135624457,0.7767695756579067
13,0.38745718475026947,0.8427262356881707,0.7824595786379226,0.7551164067012154,0.7782118664716087
14,0.3646745844693576,0.8417672897830043,0.7875224563122653,0.7615097501179428,0.7833298788153703
15,0.35055354488291884,0.8568815848754061,0.7818063040992977,0.7558861082541671,0.777983865272399
