epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,2.888947412803571,2.642929916617023,0.8087538788175731,0.7408610546352575,0.7835724043591977
2,2.5281477973754525,2.4519657825461874,0.8249224236485383,0.7802347368179943,0.8095492294733633
3,2.283402432458609,2.2765510199838226,0.8419075616527846,0.8042349956931162,0.8308080025113252
4,2.0518026855845175,2.1383856014159504,0.8459905275191899,0.8142198509297031,0.8409090804813316
5,1.8422205876338489,2.016026661011707,0.8481136697697207,0.8197124968954951,0.8422759427235749
6,1.658566295920542,1.9107666479184233,0.8504001306549077,0.8220807677001108,0.845824943446567
7,1.498315256235891,1.8295265497694837,0.8492569002123143,0.8226150176507994,0.8427444355926691
8,1.365837679645563,1.7582342784894986,0.8450106157112527,0.824580755414245,0.8417696378878881
9,1.2530242478671323,1.6878385644867864,0.8453372529805651,0.8221616669740927,0.8406089564896384
10,1.1606657218765686,1.6431370318646565,0.8471337579617835,0.8275585375102574,0.8447972695742823
11,1.0874211023347742,1.6107809206404835,0.8487669443083455,0.8288759268885965,0.8471184657399157
12,1.028907579631818,1.5795900454887977,0.8479503511350646,0.8273821975462035,0.8463331034681387
13,0.9862221619581957,1.5587113496039635,0.8432141107300343,0.8241324875872141,0.8419470268409307
14,0.9575041316816483,1.5536577633426758,0.8450106157112527,0.825756662155503,0.8430426347661154
15,0.942383051716747,1.551108252003402,0.8464804834231586,0.8271893095308428,0.84431143733138
