model,variant,accuracy,macro_f1,weighted_f1,loss,best_epoch,epoch_completed,train_runtime_seconds
VisualBERT,full_finetune,0.8554866100587851,0.8456366910628138,0.8549265283507815,0.5613710284233093,,,
CLIP,full_finetune,0.8420966688438929,0.8250412113347894,0.8406765232984265,1.6157164573669434,,,
CLIP,deep_head,0.8225016329196604,0.8074730875328289,0.8184393673670435,,3.0,3.0,3339.8614580631256
CLIP,lora,0.8388308295231874,0.8230356738516041,0.8363363352767783,,5.0,5.0,5909.71382188797
VisualBERT,deep_head,0.7183213585891575,0.6777034105872705,0.7062603400665147,,10.0,10.0,20198.689244031902
VisualBERT,lora,0.8022534291312867,0.7777463556955503,0.7964774338343348,,10.0,10.0,12884.330567121506
