shots_per_class,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,zero_shot_accuracy,zero_shot_macro_f1,delta_accuracy_vs_zero,delta_macro_f1_vs_zero
1,0.27487480949270626,0.022174263376586182,0.2466107701683428,0.027657093499027324,0.43141737426518617,0.3891737710665401,-0.1565425647724799,-0.14256300089819732
2,0.3275092532114086,0.03313512806634623,0.29606956738369933,0.02742452269230584,0.43141737426518617,0.3891737710665401,-0.10390812105377756,-0.09310420368284078
4,0.38700195950359245,0.0009797517962116392,0.3541282188788708,0.002413567818974506,0.43141737426518617,0.3891737710665401,-0.04441541476159372,-0.035045552187669304
8,0.4333768778576094,0.01005671723720624,0.39905725291240807,0.009157896410239078,0.43141737426518617,0.3891737710665401,0.0019595035924232507,0.009883481845867959
16,0.47441759198780753,0.01077520779382694,0.44300385964369576,0.013413006088271378,0.43141737426518617,0.3891737710665401,0.04300021772262136,0.053830088577155655
