epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,2.3057902986549537,0.9402184492521927,0.770537318308019,0.6977982355933566,0.7460566970589175
2,0.6876386888084912,0.5450335355116888,0.8410909684795035,0.8161558991176806,0.8349733277046719
3,0.4050385842631036,0.48846907990709465,0.8530132288094071,0.8400485752448232,0.8517622478789264
4,0.26766363951027994,0.4998184990380571,0.8538298219826882,0.8359710212283508,0.8503961686603618
5,0.1745956398032936,0.512442314613105,0.8603625673689368,0.845312600869138,0.8588070328893134
6,0.11230801757713432,0.5358792671615268,0.8644455332353421,0.8524619552452478,0.8634465929884384
7,0.07003462565900072,0.602408026353744,0.8551363710599379,0.8375734656579574,0.8528382288383911
8,0.04003875488655662,0.6103722986941796,0.8624857096194676,0.8477010474804375,0.8619995508957599
9,0.026899873999009723,0.6596295200847272,0.8592193369263433,0.8488641673237395,0.8618317234189954
10,0.01857435656464313,0.663143269961019,0.8629756655234362,0.8508234641663169,0.863076780337657
11,0.011070181185302744,0.6696843770093073,0.8637922586967173,0.8501466466037483,0.8639099598512221
