model,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,loss
VisualBERT,0.8554866100587851,0.8506503083281083,0.8426254546791373,0.8456366910628138,0.8556952777309278,0.8554866100587851,0.8549265283507815,0.5613690313757206
CLIP,0.8420966688438929,0.8389946301082758,0.8174813421487563,0.8250412113347894,0.8427068189238235,0.8420966688438929,0.8406765232984265,1.6157013601450108
