training_strategy,clip_test_accuracy,visualbert_test_accuracy,accuracy_gap_visualbert_minus_clip,better_accuracy_model,clip_test_macro_f1,visualbert_test_macro_f1,macro_f1_gap_visualbert_minus_clip,better_macro_f1_model
full_finetune,0.848791639451339,0.8752449379490529,0.02645329849771394,VisualBERT,0.8063637712893706,0.864149161959657,0.05778539067028632,VisualBERT
lora,0.8388308295231874,0.8022534291312867,-0.036577400391900716,CLIP,0.8230356738516041,0.7777463556955503,-0.04528931815605386,CLIP
deep_head,0.8225016329196604,0.7183213585891575,-0.10418027433050292,CLIP,0.8074730875328289,0.6777034105872705,-0.1297696769455584,CLIP
