model,variant,best_epoch,epoch_completed,train_runtime_seconds,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
CLIP,deep_head,3,3,3339.8614580631256,0.8225016329196604,0.8125325571792809,0.8092867865894622,0.8074730875328289,0.8205278234819208,0.8225016329196604,0.8184393673670435
CLIP,lora,5,5,5909.71382188797,0.8388308295231874,0.8387805303083035,0.8201286541495029,0.8230356738516041,0.8455567798367886,0.8388308295231874,0.8363363352767783
VisualBERT,deep_head,10,10,20198.689244031906,0.7183213585891575,0.6901210765265482,0.6895804793296958,0.6777034105872705,0.7132359905297537,0.7183213585891575,0.7062603400665147
VisualBERT,lora,10,10,12884.330567121506,0.8022534291312867,0.7833069088937991,0.7799804721930735,0.7777463556955503,0.796952007929414,0.8022534291312867,0.7964774338343348
