shots_per_class,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,weighted_precision_mean,weighted_precision_std,weighted_recall_mean,weighted_recall_std,weighted_f1_mean,weighted_f1_std
1,0.27487480949270626,0.022174263376586182,0.25102366196306775,0.03170983936045675,0.2666821892373587,0.029747932470396275,0.2466107701683428,0.027657093499027324,0.2699940263520642,0.038903289682143155,0.27487480949270626,0.022174263376586182,0.26050381570716824,0.027768835770886038
2,0.3275092532114086,0.03313512806634623,0.2980192727261366,0.025601105622189056,0.3257582909847409,0.02484073281357315,0.29606956738369933,0.02742452269230584,0.31839696712803245,0.026646700635706184,0.3275092532114086,0.03313512806634623,0.30887289029132653,0.03120781932557035
4,0.38700195950359245,0.0009797517962116392,0.35912481814001046,0.004146099853393846,0.38361155236634364,0.004550203999862634,0.3541282188788708,0.002413567818974506,0.3845523502122365,0.0034073957071831694,0.38700195950359245,0.0009797517962116392,0.37020399618263816,0.0021427001200676945
8,0.4333768778576094,0.01005671723720624,0.40116544024915884,0.007933307837965855,0.42779651525088,0.01133360758904481,0.39905725291240807,0.009157896410239078,0.4269351025653525,0.0063015731638910695,0.4333768778576094,0.01005671723720624,0.4175071896071503,0.007807438638382147
16,0.47441759198780753,0.01077520779382694,0.4476294134135486,0.011005854148762574,0.468616779072261,0.015283062141187381,0.44300385964369576,0.013413006088271378,0.478736906103473,0.013915512663791202,0.47441759198780753,0.01077520779382694,0.4648798460452495,0.013235691582843042
