epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,3.077595932294644,2.8068413821657594,0.6418422341989221,0.5364680688448084,0.5990140033737136
2,2.4219702680694764,2.067003822085243,0.7290543851053405,0.6133752179775948,0.6876705857670292
3,1.7855913553898253,1.5738358059370223,0.7566552343622407,0.645084754973851,0.7178324868519169
4,1.3719365056255861,1.263439477239581,0.7787032500408296,0.6820196624565537,0.7456841397225134
5,1.1040034178637423,1.0697857577797247,0.7958517066797322,0.7101984487368694,0.7663969157966398
6,0.9211926230208829,0.9431744521103828,0.8087538788175731,0.7309422815920517,0.7827059510923051
7,0.7914980790746877,0.8550896023625392,0.8159398987424465,0.7488520196361286,0.7956853729973868
8,0.6968541921202266,0.797656002833955,0.8210027764167892,0.7603147490282284,0.8024443914037959
9,0.6258980065713154,0.7554932363707315,0.8226359627633513,0.7653992679782432,0.8071297471030208
10,0.5708027641374335,0.7254649404215497,0.8283521149763188,0.7794700429853171,0.8166652032292719
11,0.5286284280210707,0.7090991795617888,0.8290053895149436,0.7818063598488613,0.8179738810427363
12,0.4956389587806606,0.6960301775568629,0.8286787522456313,0.7846309448200689,0.8197580929126244
13,0.47073144695462327,0.6836880840313663,0.8325983994773803,0.7903373245678473,0.8245225241878996
14,0.45473917013938703,0.680229077352022,0.8332516740160052,0.7916788436805136,0.8255644046897513
15,0.4430357807727213,0.6778862478198441,0.8342315858239425,0.7934543051844697,0.8266809091220763
