label,bert_accuracy,bert_precision,bert_recall,bert_f1,bert_full_nonweighted_accuracy,bert_full_nonweighted_precision,bert_full_nonweighted_recall,bert_full_nonweighted_f1,lstm_accuracy,lstm_precision,lstm_recall,lstm_f1,lstm_nonweighted_accuracy,lstm_nonweighted_precision,lstm_nonweighted_recall,lstm_nonweighted_f1,bert_head_only_weighted_accuracy,bert_head_only_weighted_precision,bert_head_only_weighted_recall,bert_head_only_weighted_f1,bert_head_only_nonweighted_accuracy,bert_head_only_nonweighted_precision,bert_head_only_nonweighted_recall,bert_head_only_nonweighted_f1
toxic,0.9194254274906999,0.5475826972010178,0.8834154351395731,0.6760917373546969,0.9122823470568008,0.5226583238528631,0.9052545155993432,0.6626998437312177,0.9213010722435837,0.5622565797238286,0.7822660098522167,0.654260797912518,0.9161274188002125,0.5386917486105173,0.8275862068965517,0.6525961413958307,0.9037637938041202,0.4957308525551166,0.638752052545156,0.5582263040826577,0.912110412954453,0.534313005143277,0.5970443349753695,0.563939511438542
severe_toxic,0.9896214323673763,0.2887624466571835,0.553133514986376,0.3794392523364486,0.9845884522804714,0.24143692564745195,0.7874659400544959,0.3695652173913043,0.9829628934946388,0.21103117505995203,0.7193460490463215,0.3263288009888752,0.9826190252899434,0.20966484801247076,0.7329700272479565,0.32606060606060605,0.982071962237019,0.16666666666666666,0.5313351498637602,0.25374105400130126,0.9871674638156867,0.20822622107969152,0.44141689373297005,0.28296943231441046
obscene,0.9601112882553378,0.6193169914100146,0.8008669737198592,0.6984877126654064,0.957610428584826,0.5936483642624832,0.8406935789758873,0.6958959407938999,0.954968895557848,0.5838509316770186,0.7640205906258467,0.6618941438798263,0.9564850417330958,0.5954134231011993,0.7667298835004064,0.6702984367598295,0.9461377348463534,0.5334425334425335,0.5293958276889732,0.5314114767473483,0.9423708149676451,0.5004743833017078,0.5716607965321051,0.5337043126343746
threat,0.9950139110319173,0.3805309734513274,0.8151658767772512,0.5188536953242836,0.9943574353684079,0.3493975903614458,0.8246445497630331,0.4908321579689704,0.9949982806589766,0.3473389355742297,0.5876777251184834,0.43661971830985913,0.9924661602425834,0.17814726840855108,0.35545023696682465,0.23734177215189872,0.9940291975366532,0.20618556701030927,0.2843601895734597,0.23904382470119523,0.9962330801212917,0.25806451612903225,0.07582938388625593,0.11721611721611722
insult,0.9585169902153865,0.5812145408699306,0.8071199299679019,0.6757879306132422,0.9621588671105693,0.6145264116575592,0.7875693025970236,0.6903696124824147,0.9516865172403014,0.5378719567177638,0.6962357747300846,0.6068930433676714,0.9502797836756385,0.5269973661106233,0.7006127808578932,0.6015282475259928,0.9420269467629497,0.4649079143852663,0.5450831631164283,0.5018132975151108,0.9424958579511707,0.4677914110429448,0.5339947475926466,0.498705545714675
identity_hate,0.9899496701991309,0.5372972972972972,0.6980337078651685,0.6072083078802688,0.9880427647003658,0.47811725846407926,0.8132022471910112,0.6021840873634945,0.9843539966863609,0.36923076923076925,0.5730337078651685,0.44909190974133184,0.9826659164087655,0.3020937188434696,0.425561797752809,0.3533527696793003,0.9701928788020883,0.17331875341716785,0.4452247191011236,0.24950806768988587,0.9838225640063772,0.2556732223903177,0.23735955056179775,0.24617625637290605
