epoch,train_loss,val_loss,val_micro_f1,val_macro_f1
1,0.309307186858694,0.1162580926753772,0.6798542425819886,0.5447440520749126
2,0.09852396104491723,0.0967797452194292,0.7124687466028916,0.611960867709767
3,0.0756835246576974,0.09216070517702447,0.7470981357720717,0.6282935604433874
4,0.06112288260323374,0.10015955388180417,0.7355747387551114,0.6329750482206759
5,0.050590032484509315,0.11332970658424417,0.7605565638233515,0.6554590457614907
6,0.04192680006346057,0.12486761709216944,0.7538738738738738,0.6518907061251168
7,0.03481685224373363,0.1304935267652392,0.7650394477317555,0.6579497581512831
8,0.029240778921267856,0.15168110272361815,0.7789419221316777,0.6714963691239779
9,0.024448761670843974,0.16018996498033802,0.7685699848408287,0.6561451778327082
10,0.020827010725013296,0.16880325648384123,0.7737094061327467,0.6630337460296595
11,0.01785705432401478,0.18563758409595865,0.7765538945712038,0.659211320070888
12,0.015399337274656569,0.18974421593498744,0.7734547820429408,0.6527491929560657
13,0.013417909422488621,0.20380331712765026,0.7765176784523016,0.6531603968181626
14,0.011673552562873873,0.20902573158451523,0.775635057853438,0.653796106396308
15,0.010782599137666295,0.21111932434867062,0.7760437508336668,0.6536162051967606
