model,checkpoint,history,best_val_macro_f1,best_val_micro_f1,min_val_loss,test_exact_match_accuracy,test_micro_f1,test_macro_f1,test_loss
BERT_full_weighted,bert_multilabel_best.pt,bert_history.csv,0.6714963691239779,0.7789419221316777,0.0921607051770244,0.8691425177404732,0.6664254904689022,0.5926447726957244,0.1943797413743471
BERT_full_nonweighted,bert_nonweighted_best.pt,bert_nonweighted_history.csv,0.6753833711078396,0.7916666666666666,0.0387822546028436,0.8614680046265903,0.657794575603524,0.5852578099552169,0.07992092270000932
LSTM_weighted,lstm_multilabel_best.pt,lstm_history.csv,0.6254333760970611,0.7308491480814517,0.1428925652247889,0.872784394635656,0.6160801144492132,0.5225147357000136,0.2356789659338061
LSTM_nonweighted,lstm_nonweighted_best.pt,lstm_nonweighted_history.csv,0.5511114081978177,0.7228441754916792,0.0530286307933038,0.8645159273500266,0.6087538332868693,0.47352966226224297,0.08565071026120831
BERT_head_only_weighted,bert_head_only_weighted_best.pt,bert_head_only_weighted_history.csv,0.4406904809500349,0.573268921095008,0.2130517572326078,0.8568414142361437,0.4972985952695402,0.38895733745624983,0.24087363659418803
BERT_head_only_nonweighted,bert_head_only_nonweighted_best.pt,bert_head_only_nonweighted_history.csv,0.2624490958831975,0.4703020474356375,0.0768472587265824,0.8720810278533245,0.5122850122850123,0.3737851959485042,0.08839223215974788
