epoch,train_loss,val_loss,val_micro_f1,val_macro_f1
1,0.45345939292948756,0.37147912747904926,0.10197544046983449,0.048235985425509574
2,0.3354727463185736,0.2971340354103868,0.5075098814229249,0.2894830404958843
3,0.284841014193347,0.2670504384845596,0.5080130966741341,0.33318699659901074
4,0.2626478153657307,0.24553588778807683,0.5476931786017549,0.37716877471425087
5,0.24972690157688016,0.2370009993958524,0.5507765830346476,0.3835078318347252
6,0.24324241316228118,0.2290494985843918,0.5525885558583107,0.41238127860904356
7,0.23804588437563487,0.22557621161816546,0.5652357494722027,0.42892767883450805
8,0.23534226768351152,0.22281567630457136,0.5595913734392736,0.4257024218154892
9,0.23284552948682966,0.2185520878777623,0.5729011257290113,0.4348820784416599
10,0.23062288273304948,0.21739891907595904,0.5615109749872383,0.43441254899112575
11,0.22871257856412588,0.21667873311000205,0.5724214623297192,0.43876619531555455
12,0.22865544278847388,0.21353264458954654,0.5717586649550706,0.4345275114031179
13,0.22681999225779914,0.2138435227588904,0.573268921095008,0.43563734697168927
14,0.2262004524004327,0.2136032144001088,0.5729759003520173,0.44069048095003494
15,0.2259696434027436,0.21305175723260783,0.5723481292745072,0.43896892539277577
