epoch,train_loss,val_loss,val_micro_f1,val_macro_f1
1,0.20579187067561794,0.05043594195116566,0.76226089457788,0.4701848754697792
2,0.04377115030145235,0.04029854161159205,0.7900295732995353,0.634723570211634
3,0.03460628906249843,0.03878225460284365,0.7891773108089548,0.6753833711078396
4,0.02904058404859662,0.03962118463433283,0.7916666666666666,0.6731503435537741
5,0.024386776072932444,0.041389052437261556,0.785829307568438,0.6565860640791298
6,0.020342413976452964,0.045699148377949465,0.7871280463174902,0.6718921938915012
7,0.01674473697769384,0.04811003670618114,0.784297289745739,0.665281857317071
8,0.013992826157927492,0.05353762493718168,0.7749463519313304,0.6565359184808129
9,0.01131946201924363,0.056133811308381146,0.7781171896695362,0.6536149316209687
10,0.009152358435875663,0.05957667156633931,0.779119811189782,0.6588912390188839
11,0.007598002540213655,0.06263628867095068,0.7796563192904656,0.652418588924608
