epoch,train_loss,val_loss,val_micro_f1,val_macro_f1
1,0.2217576316373996,0.12822620261977385,0.0,0.0
2,0.11879078937719605,0.10783988522625512,0.09154929577464789,0.032943469785575046
3,0.10354823779310632,0.09686463439599219,0.179204107830552,0.06969827840936989
4,0.09562462326731806,0.09066598417699852,0.2645631067961165,0.13089035856817666
5,0.09097416899122936,0.08621007916303372,0.3405714285714286,0.17040380880332426
6,0.0877212214403234,0.08332120217880143,0.3930913860953214,0.20584794746899573
7,0.08591449907468321,0.08103433945116441,0.43128161888701516,0.2240036078452691
8,0.084525406653227,0.07978817737804987,0.4383504291396274,0.23214472709141076
9,0.08386418514363171,0.07930618687051365,0.4328200801518667,0.23374226418018093
10,0.08283378859282571,0.07821835341418275,0.45635654138426784,0.2547171951445123
11,0.08237822848537509,0.07803971096214973,0.44740679025203084,0.2432750578845951
12,0.08191978186073229,0.07722871758857083,0.4667885435709933,0.2597199982243864
13,0.08207737071160369,0.07703752786169481,0.4693257744482689,0.2565341446033531
14,0.0813903448464456,0.07688305695751418,0.46951590034433865,0.26189998118142943
15,0.0815335533054195,0.07684725872658241,0.4703020474356375,0.2624490958831975
