epoch,train_loss,val_loss,val_micro_f1,val_macro_f1
1,0.3023196104439641,0.19687401233370525,0.5877693651718113,0.44836210907978513
2,0.1721467583069182,0.16867804790420152,0.6533854495019543,0.5062498370826775
3,0.14022716746493422,0.15067577365982396,0.6742658902242596,0.537950090699057
4,0.11759176543850729,0.1431597228866873,0.6837877312560857,0.5518318261710112
5,0.10194197700542912,0.1428925652247889,0.6980014803849001,0.5699652012644083
6,0.08890155887245667,0.1445781247932401,0.6955550037248572,0.5753003207597743
7,0.07860094640348034,0.1456434681501764,0.7034431691965939,0.5758777639487883
8,0.06878246060991991,0.16174675982717673,0.7205843986433603,0.6167448092243216
9,0.06271589670521488,0.16401859635524782,0.7256521169222703,0.6145122866919833
10,0.05689129647444856,0.1795218141380894,0.7185916244331821,0.6194791163606952
11,0.051852064053075006,0.1952316302851427,0.7308491480814517,0.6254333760970611
12,0.04674251198123338,0.20595525157512884,0.7213476940071804,0.6133295464420722
13,0.041511591328014415,0.22205021444053066,0.7210827403376587,0.6155586598927355
14,0.03852087757103011,0.22812024720675186,0.7223532676564451,0.6149363101587656
15,0.035026093979186615,0.2559826654765014,0.719206236711552,0.6100425589000984
