epoch,train_loss,val_loss,val_micro_f1,val_macro_f1
1,0.14921471433147235,0.0780687665052993,0.542715414293588,0.31923870876585747
2,0.0648245304358029,0.060789532802120336,0.6519808743169399,0.3630669490631571
3,0.052581344595610195,0.055842207853735684,0.6889279437609842,0.40916827730740873
4,0.04667408562203217,0.05443133276246786,0.6948876587430804,0.41199319380836535
5,0.04221586834065238,0.05319322099126451,0.7089864969734596,0.41103681728451136
6,0.03863823425296104,0.0530286307933038,0.7108960349672182,0.42904893723539295
7,0.03545110091502916,0.0543900252015112,0.7121140887008306,0.43669940695047066
8,0.03254507539747119,0.05541477611176142,0.7187017001545595,0.4627741225294563
9,0.02980922976741144,0.057246549995523865,0.7228441754916792,0.46713000322849113
10,0.02706900365812985,0.06159429066326702,0.7170222706743498,0.49748742011912
11,0.025751884145389158,0.0612556594089542,0.7150545901891435,0.516744147216135
12,0.02299231776767999,0.0646067372553479,0.7187451945256036,0.5394620006898077
13,0.02154237520256983,0.06533644519450298,0.7144615384615385,0.5511114081978177
14,0.02024548019965521,0.0675112941673651,0.7139996919759741,0.5345206768557157
15,0.01811432907636911,0.07021108709218762,0.7139778325123153,0.5510166418795645
